API,Description,Example,,
"
mxnet.contrib.symbol.quantize_asym(data=None, min_calib_range=_Null, max_calib_range=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Quantize a input tensor from float to uint8_t.\nOutput ', 'scale', ' and ', 'shift', ' are scalar floats that specify the quantization parameters for the input\ndata.\nThe output is calculated using the following equation:\n', 'out[i] = in[i] * scale + shift + 0.5', ',\nwhere ', 'scale = uint8_range / (max_range - min_range)', ' and\n', 'shift = numeric_limits<T>::max - max_range * scale', '.\n.. Note:', '\n', None, '\n', '\n', 'Defined in src/operator/quantization/quantize_asym.cc:L115', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantize_v2(data=None, out_type=_Null, min_calib_range=_Null, max_calib_range=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Quantize a input tensor from float to ', 'out_type', ',\nwith user-specified ', 'min_calib_range', ' and ', 'max_calib_range', ' or the input range collected at runtime.', '\n', 'Output ', 'min_range', ' and ', 'max_range', ' are scalar floats that specify the range for the input data.', '\n', 'When out_type is ', 'uint8', ', the output is calculated using the following equation:', '\n', 'out[i] = (in[i] - min_range) * range(OUTPUT_TYPE) / (max_range - min_range) + 0.5', ',', '\n', 'where ', 'range(T) = numeric_limits<T>::max() - numeric_limits<T>::min()', '.', '\n', 'When out_type is ', 'int8', ', the output is calculate using the following equation\nby keep zero centered for the quantized value:', '\n', 'out[i] = sign(in[i]) * min(abs(in[i] * scale + 0.5f, quantized_range)', ',', '\n', 'where\n', 'quantized_range = MinAbs(max(int8), min(int8))', ' and\n', 'scale = quantized_range / MaxAbs(min_range, max_range).', '\n', 'When out_type is ', 'auto', ', the output type is automatically determined by min_calib_range if presented.\nIf min_calib_range < 0.0f, the output type will be int8, otherwise will be uint8.\nIf min_calib_range isnâ\x80\x99t presented, the output type will be int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propagation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantize_v2.cc:L90', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_act(data=None, min_data=None, max_data=None, act_type=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Activation operator for input and output data type of int8.\nThe input and output data comes with min and max thresholds for quantizing\nthe float32 data into int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.\nThis operator only supports ', '\n', '\n', 'Defined in src/operator/quantization/quantized_activation.cc:L90', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_batch_norm(data=None, gamma=None, beta=None, moving_mean=None, moving_var=None, min_data=None, max_data=None, eps=_Null, momentum=_Null, fix_gamma=_Null, use_global_stats=_Null, output_mean_var=_Null, axis=_Null, cudnn_off=_Null, min_calib_range=_Null, max_calib_range=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['BatchNorm operator for input and output data type of int8.\nThe input and output data comes with min and max thresholds for quantizing\nthe float32 data into int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantized_batch_norm.cc:L94', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_concat(*data, **kwargs)Â¶","['Joins input arrays along a given axis.', '\n', 'The dimensions of the input arrays should be the same except the axis along\nwhich they will be concatenated.\nThe dimension of the output array along the concatenated axis will be equal\nto the sum of the corresponding dimensions of the input arrays.\nAll inputs with different min/max will be rescaled by using largest [min, max] pairs.\nIf any input holds int8, then the output will be int8. Otherwise output will be uint8.', '\n', 'Defined in src/operator/quantization/quantized_concat.cc:L107\nThis function support variable length of positional input.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_conv(data=None, weight=None, bias=None, min_data=None, max_data=None, min_weight=None, max_weight=None, min_bias=None, max_bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, workspace=_Null, no_bias=_Null, cudnn_tune=_Null, cudnn_off=_Null, layout=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Convolution operator for input, weight and bias data type of int8,\nand accumulates in type int32 for the output. For each argument, two more arguments of type\nfloat32 must be provided representing the thresholds of quantizing argument from data\ntype float32 to int8. The final outputs contain the convolution result in int32, and min\nand max thresholds representing the threholds for quantizing the float32 output into int32.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantized_conv.cc:L187', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_elemwise_add(lhs=None, rhs=None, lhs_min=None, lhs_max=None, rhs_min=None, rhs_max=None, name=None, attr=None, out=None, **kwargs)Â¶","['elemwise_add operator for input dataA and input dataB data type of int8,\nand accumulates in type int32 for the output. For each argument, two more arguments of type\nfloat32 must be provided representing the thresholds of quantizing argument from data\ntype float32 to int8. The final outputs contain result in int32, and min\nand max thresholds representing the threholds for quantizing the float32 output into int32.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_elemwise_mul(lhs=None, rhs=None, lhs_min=None, lhs_max=None, rhs_min=None, rhs_max=None, min_calib_range=_Null, max_calib_range=_Null, enable_float_output=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Multiplies arguments int8 element-wise.', '\n', 'Defined in src/operator/quantization/quantized_elemwise_mul.cc:L221', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_embedding(data=None, weight=None, min_weight=None, max_weight=None, input_dim=_Null, output_dim=_Null, dtype=_Null, sparse_grad=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Maps integer indices to int8 vector representations (embeddings).', '\n', 'Defined in src/operator/quantization/quantized_indexing_op.cc:L133', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_flatten(data=None, min_data=None, max_data=None, name=None, attr=None, out=None, **kwargs)Â¶","['\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_fully_connected(data=None, weight=None, bias=None, min_data=None, max_data=None, min_weight=None, max_weight=None, min_bias=None, max_bias=None, num_hidden=_Null, no_bias=_Null, flatten=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Fully Connected operator for input, weight and bias data type of int8,\nand accumulates in type int32 for the output. For each argument, two more arguments of type\nfloat32 must be provided representing the thresholds of quantizing argument from data\ntype float32 to int8. The final outputs contain the convolution result in int32, and min\nand max thresholds representing the threholds for quantizing the float32 output into int32.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantized_fully_connected.cc:L312', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_pooling(data=None, min_data=None, max_data=None, kernel=_Null, pool_type=_Null, global_pool=_Null, cudnn_off=_Null, pooling_convention=_Null, stride=_Null, pad=_Null, p_value=_Null, count_include_pad=_Null, layout=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Pooling operator for input and output data type of int8.\nThe input and output data comes with min and max thresholds for quantizing\nthe float32 data into int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.\nThis operator only supports ', '\n', '\n', 'Defined in src/operator/quantization/quantized_pooling.cc:L186', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.quantized_rnn(data=None, parameters=None, state=None, state_cell=None, data_scale=None, data_shift=None, state_size=_Null, num_layers=_Null, bidirectional=_Null, mode=_Null, p=_Null, state_outputs=_Null, projection_size=_Null, lstm_state_clip_min=_Null, lstm_state_clip_max=_Null, lstm_state_clip_nan=_Null, use_sequence_length=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['RNN operator for input data type of uint8. The weight of each gates is converted\nto int8, while bias is accumulated in type float32. The hidden state and cell state are in type\nfloat32. For the input data, two more arguments of type float32 must be provided representing the\nthresholds of quantizing argument from data type float32 to uint8. The final outputs contain the\nrecurrent result in float32. It only supports quantization for Vanilla LSTM network.\n.. Note:', '\n', None, '\n', '\n', 'Defined in src/operator/quantization/quantized_rnn.cc:L298', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.requantize(data=None, min_range=None, max_range=None, out_type=_Null, min_calib_range=_Null, max_calib_range=_Null, name=None, attr=None, out=None, **kwargs)Â¶","['Given data that is quantized in int32 and the corresponding thresholds,\nrequantize the data into int8 using min and max thresholds either calculated at runtime\nor from calibration. Itâ\x80\x99s highly recommended to pre-calucate the min and max thresholds\nthrough calibration since it is able to save the runtime of the operator and improve the\ninference accuracy.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/requantize.cc:L59', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.round_ste(data=None, name=None, attr=None, out=None, **kwargs)Â¶","['Straight-through-estimator of ', 'round()', '.', '\n', 'In forward pass, returns element-wise rounded value to the nearest integer of the input (same as ', 'round()', ').', '\n', 'In backward pass, returns gradients of ', '1', ' everywhere (instead of ', '0', ' everywhere as in ', 'round()', '):\n', '\\(\\frac{d}{dx}{round\\_ste(x)} = 1\\)', ' vs. ', '\\(\\frac{d}{dx}{round(x)} = 0\\)', '.\nThis is useful for quantized training.', '\n', 'Reference: Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation.', '\n', '\n', 'Example::', 'x = round_ste([-1.5, 1.5, -1.9, 1.9, 2.7])\nx.backward()\nx = [-2.,  2., -2.,  2.,  3.]\nx.grad() = [1.,  1., 1.,  1.,  1.]', '\n', 'The storage type of ', '\n', '\n', '\n', 'Defined in src/operator/contrib/stes_op.cc:L54', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
mxnet.contrib.symbol.sign_ste(data=None, name=None, attr=None, out=None, **kwargs)Â¶","['Straight-through-estimator of ', 'sign()', '.', '\n', 'In forward pass, returns element-wise sign of the input (same as ', 'sign()', ').', '\n', 'In backward pass, returns gradients of ', '1', ' everywhere (instead of ', '0', ' everywhere as in ', 'sign()', '):\n', '\\(\\frac{d}{dx}{sign\\_ste(x)} = 1\\)', ' vs. ', '\\(\\frac{d}{dx}{sign(x)} = 0\\)', '.\nThis is useful for quantized training.', '\n', 'Reference: Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation.', '\n', '\n', 'Example::', 'x = sign_ste([-2, 0, 3])\nx.backward()\nx = [-1.,  0., 1.]\nx.grad() = [1.,  1., 1.]', '\n', 'The storage type of ', '\n', '\n', '\n', 'Defined in src/operator/contrib/stes_op.cc:L79', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'The result symbol.', '\n', 'Return type', '\n', 'Symbol', '\n', '\n', '\n']",,,
"
class mxnet.contrib.tensorboard.LogMetricsCallback(logging_dir, prefix=None)[source]Â¶","['Bases: ', 'object', '\n', 'Log metrics periodically in TensorBoard.\nThis callback works almost same as ', 'callback.Speedometer', ', but write TensorBoard event file\nfor visualization. For more usage, please refer ', 'https://github.com/dmlc/tensorboard', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
class mxnet.attribute.AttrScope(**kwargs)[source]Â¶","['Bases: ', 'object', '\n', 'Attribute manager for scoping.', '\n', 'User can also inherit this object to change naming behavior.', '\n', '\n', 'Parameters', '\n', 'kwargs', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Get the attribute dict given the attribute set by the symbol.', '\n', '\n']",,,
"
class mxnet.callback.LogValidationMetricsCallback[source]Â¶","['Bases: ', 'object', '\n', 'Just logs the eval metrics at the end of an epoch.', '\n', '\n']",,,
"
class mxnet.callback.ProgressBar(total, length=80)[source]Â¶","['Bases: ', 'object', '\n', 'Displays a progress bar, indicating the percentage of batches processed within each epoch.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
class mxnet.callback.Speedometer(batch_size, frequent=50, auto_reset=True)[source]Â¶","['Bases: ', 'object', '\n', 'Logs training speed and evaluation metrics periodically.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Example', '\n', None, '\n', '\n', '\n']",">>> # Print training speed and evaluation metrics every ten batches. Batch size is one.
>>> module.fit(iterator,num_epoch=n_epoch,
... batch_end_callback=mx.callback.Speedometer(1,10))
Epoch[0] Batch [10] Speed: 1910.41 samples/sec  Train-accuracy=0.200000
Epoch[0] Batch [20] Speed: 1764.83 samples/sec  Train-accuracy=0.400000
Epoch[0] Batch [30] Speed: 1740.59 samples/sec  Train-accuracy=0.500000
",,
"
mxnet.callback.do_checkpoint(prefix, period=1)[source]Â¶","['A callback that saves a model checkpoint every few epochs.\nEach checkpoint is made up of a couple of binary files: a model description file and a\nparameters (weights and biases) file. The model description file is named\n', 'prefix', 'â\x80\x93symbol.json and the parameters file is named ', 'prefix', '-', 'epoch_number', '.params', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'callback', '\n', 'Return type', '\n', 'function', '\n', '\n', 'Example', '\n', None, '\n', '\n', '\n']",">>> module.fit(iterator,num_epoch=n_epoch,
... epoch_end_callback=mx.callback.do_checkpoint(""mymodel"",1))
Start training with [cpu(0)]
Epoch[0] Resetting Data Iterator
Epoch[0] Time cost=0.100
Saved checkpoint to ""mymodel-0001.params""
Epoch[1] Resetting Data Iterator
Epoch[1] Time cost=0.060
Saved checkpoint to ""mymodel-0002.params""
",,
"
mxnet.callback.log_train_metric(period, auto_reset=False)[source]Â¶","['Callback to log the training evaluation result every period.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'callback', '\n', 'Return type', '\n', 'function', '\n', '\n', '\n']",,,
"
mxnet.callback.module_checkpoint(mod, prefix, period=1, save_optimizer_states=False)[source]Â¶","['Callback to checkpoint Module to prefix every epoch.', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'callback', '\n', 'Return type', '\n', 'function', '\n', '\n', '\n']",,,
"
class mxnet.context.Context(device_type, device_id=0)[source]Â¶","['Bases: ', 'object', '\n', 'Constructs a context.', '\n', 'MXNet can run operations on CPU and different GPUs.\nA context describes the device type and ID on which computation should be carried on.', '\n', 'One can use mx.cpu and mx.gpu for short.', '\n', '\n', 'See also', '\n', 'How to run MXNet on multiple CPU/GPUs <http://mxnet.incubator.apache.org/api/faq/distributed_training>', '\n', '\n', 'Attributes', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n', 'Note', '\n', 'Context can also be used as a way to change the default context.', '\n', '\n', 'Examples', '\n', None, '\n', '\n', 'One can also explicitly specify the context when creating an array.', '\n', None, '\n', '\n', '\n', '\n', '\n', 'Returns the device type of current context.', '\n', '\n', '\n', '\n', 'Empties the memory cache for the current contexts device.', '\n', '\n']",,,
"
mxnet.context.cpu(device_id=0)[source]Â¶","['Returns a CPU context.', '\n', 'This function is a short cut for ', ""Context('cpu',"", '.\nFor most operations, when no context is specified, the default context is ', 'cpu()', '.', '\n', 'Examples', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', 'device_id', '\n', 'Returns', '\n', 'context', '\n', 'Return type', '\n', 'Context', '\n', '\n', '\n']",,,
"
mxnet.context.cpu_pinned(device_id=0)[source]Â¶","['Returns a CPU pinned memory context. Copying from CPU pinned memory to GPU\nis faster than from normal CPU memory.', '\n', 'This function is a short cut for ', ""Context('cpu_pinned',"", '.', '\n', 'Examples', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', 'device_id', '\n', 'Returns', '\n', 'context', '\n', 'Return type', '\n', 'Context', '\n', '\n', '\n']",,,
"
mxnet.context.current_context()[source]Â¶","['Returns the current context.', '\n', 'By default, ', 'mx.cpu()', ' is used for all the computations\nand it can be overridden by using ', 'with mx.Context(x)', ' statement where\nx can be cpu(device_id) or gpu(device_id).', '\n', 'Examples', '\n', None, '\n', '\n', '\n', 'Returns', '\n', 'default_ctx', '\n', 'Return type', '\n', 'Context', '\n', '\n', '\n']",,,
"
mxnet.context.gpu(device_id=0)[source]Â¶","['Returns a GPU context.', '\n', 'This function is a short cut for Context(â\x80\x98gpuâ\x80\x99, device_id).\nThe K GPUs on a node are typically numbered as 0,â\x80¦,K-1.', '\n', 'Examples', '\n', None, '\n', '\n', '\n', 'Parameters', '\n', 'device_id', '\n', 'Returns', '\n', 'context', '\n', 'Return type', '\n', 'Context', '\n', '\n', '\n']",,,
"
mxnet.context.gpu_memory_info(device_id=0)[source]Â¶","['Query CUDA for the free and total bytes of GPU global memory.', '\n', '\n', 'Parameters', '\n', 'device_id', '\n', 'Raises', '\n', 'Will raise an exception on any CUDA error.', '\n', 'Returns', '\n', '(free, total)', '\n', 'Return type', '\n', '(int, int)', '\n', '\n', '\n']",,,
"
mxnet.context.num_gpus()[source]Â¶","['Query CUDA for the number of GPUs present.', '\n', '\n', 'Raises', '\n', 'Will raise an exception on any CUDA error.', '\n', 'Returns', '\n', 'count', '\n', 'Return type', '\n', 'int', '\n', '\n', '\n']",,,
"
mxnet.engine.bulk(size)[source]Â¶","['Bulk execution bundles many operators to run together.\nThis can improve performance when running a lot of small\noperators sequentially.', '\n', 'Returns a scope for managing bulk size:', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.engine.set_bulk_size(size)[source]Â¶","['Set size limit on bulk execution.', '\n', 'Bulk execution bundles many operators to run together.\nThis can improve performance when running a lot of small\noperators sequentially.', '\n', '\n', 'Parameters', '\n', 'size', '\n', 'Returns', '\n', 'Previous bulk size.', '\n', 'Return type', '\n', 'int', '\n', '\n', '\n']",,,
"
class mxnet.executor.Executor(handle, symbol, ctx, grad_req, group2ctx)[source]Â¶","['Bases: ', 'object', '\n', 'Executor is the object providing efficient symbolic graph execution and optimization.', '\n', 'Examples', '\n', 'Attributes', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', None, '\n', '\n', '\n', '\n', '\n', 'Get dictionary representation of argument arrrays.', '\n', '\n', '\n', '\n', 'Get dictionary representation of auxiliary states arrays.', '\n', '\n', '\n', '\n', 'Do backward pass to get the gradient of arguments.', '\n', '\n', '\n', '\n', 'Copy parameters from arg_params, aux_params into executorâ\x80\x99s internal array.', '\n', '\n', '\n', '\n', 'Get a debug string about internal execution plan.', '\n', '\n', '\n', '\n', 'Calculate the outputs specified by the bound symbol.', '\n', '\n', '\n', '\n', 'Get an optimized version of the symbol from the executor.', '\n', '\n', '\n', '\n', 'Get dictionary representation of gradient arrays.', '\n', '\n', '\n', '\n', 'Get dictionary representation of output arrays.', '\n', '\n', '\n', '\n', 'Return a new executor with the same symbol and shared memory,\nbut different input/output shapes.\nFor runtime reshaping, variable length sequences, etc.\nThe returned executor shares state with the current one,\nand cannot be used in parallel with it.', '\n', '\n', '\n', '\n', 'Install callback for monitor.', '\n', '\n']",,,
"
class mxnet.executor_manager.DataParallelExecutorGroup(sym, arg_names, param_names, ctx, slices, train_data, shared_group=None)[source]Â¶","['Bases: ', 'object', '\n', 'A group of executors living on different devices, for data parallelization.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Perform a backward pass on each executor.', '\n', '\n', '\n', '\n', 'Perform a forward pass on each executor.', '\n', '\n', '\n', '\n', 'Load data and labels into arrays.', '\n', '\n', '\n', '\n', 'Update evaluation metric with label and current outputs.', '\n', '\n']",,,
"
class mxnet.executor_manager.DataParallelExecutorManager(symbol, ctx, train_data, arg_names, param_names, aux_names, work_load_list=None, logger=None, sym_gen=None)[source]Â¶","['Bases: ', 'object', '\n', 'Helper class to manage multiple executors for data parallelism.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Attributes', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Shared aux states.', '\n', '\n', '\n', '\n', 'Run backward on the current executor.', '\n', '\n', '\n', '\n', 'Copy data from each executor to ', '\n', '\n', '\n', '\n', 'Run forward on the current executor.', '\n', '\n', '\n', '\n', 'Shared gradient arrays.', '\n', '\n', '\n', '\n', 'Install monitor on all executors.', '\n', '\n', '\n', '\n', 'Load data and labels into arrays.', '\n', '\n', '\n', '\n', 'Shared parameter arrays.', '\n', '\n', '\n', '\n', 'Set parameter and aux values.', '\n', '\n', '\n', '\n', 'Update metric with the current executor.', '\n', '\n']",,,
"
class mxnet.image.Augmenter(**kwargs)[source]Â¶","['Bases: ', 'object', '\n', 'Image Augmenter base class', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Saves the Augmenter to string', '\n', '\n']",,,
"
class mxnet.image.BrightnessJitterAug(brightness)[source]Â¶","['Bases: ', 'mxnet.image.image.Augmenter', '\n', 'Random brightness jitter augmentation.', '\n', '\n', 'Parameters', '\n', 'brightness', '\n', '\n', '\n']",,,
"
class mxnet.image.CastAug(typ='float32')[source]Â¶","['Bases: ', 'mxnet.image.image.Augmenter', '\n', 'Cast to float32', '\n', '\n']",,,
"
class mxnet.image.CenterCropAug(size, interp=2)[source]Â¶","['Bases: ', 'mxnet.image.image.Augmenter', '\n', 'Make center crop augmenter.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n']",,,
"
class mxnet.image.ColorJitterAug(brightness, contrast, saturation)[source]Â¶","['Bases: ', 'mxnet.image.image.RandomOrderAug', '\n', 'Apply random brightness, contrast and saturation jitter in random order.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n']",,,
"
class mxnet.image.ColorNormalizeAug(mean, std)[source]Â¶","['Bases: ', 'mxnet.image.image.Augmenter', '\n', 'Mean and std normalization.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n']",,,
"
class mxnet.image.ContrastJitterAug(contrast)[source]Â¶","['Bases: ', 'mxnet.image.image.Augmenter', '\n', 'Random contrast jitter augmentation.', '\n', '\n', 'Parameters', '\n', 'contrast', '\n', '\n', '\n']",,,
"
mxnet.image.CreateAugmenter(data_shape, resize=0, rand_crop=False, rand_resize=False, rand_mirror=False, mean=None, std=None, brightness=0, contrast=0, saturation=0, hue=0, pca_noise=0, rand_gray=0, inter_method=2)[source]Â¶","['Creates an augmenter list.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.image.CreateDetAugmenter(data_shape, resize=0, rand_crop=0, rand_pad=0, rand_gray=0, rand_mirror=False, mean=None, std=None, brightness=0, contrast=0, saturation=0, pca_noise=0, hue=0, inter_method=2, min_object_covered=0.1, aspect_ratio_range=(0.75, 1.33), area_range=(0.05, 3.0), min_eject_coverage=0.3, max_attempts=50, pad_val=(127, 127, 127))[source]Â¶","['Create augmenters for detection.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
mxnet.image.CreateMultiRandCropAugmenter(min_object_covered=0.1, aspect_ratio_range=(0.75, 1.33), area_range=(0.05, 1.0), min_eject_coverage=0.3, max_attempts=50, skip_prob=0)[source]Â¶","['Helper function to create multiple random crop augmenters.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Examples', '\n', None, '\n', '\n', '\n']",,,
"
class mxnet.image.DetAugmenter(**kwargs)[source]Â¶","['Bases: ', 'object', '\n', 'Detection base augmenter', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Saves the Augmenter to string', '\n', '\n']",,,
"
class mxnet.image.DetBorrowAug(augmenter)[source]Â¶","['Bases: ', 'mxnet.image.detection.DetAugmenter', '\n', 'Borrow standard augmenter from image classification.\nWhich is good once you know label wonâ\x80\x99t be affected after this augmenter.', '\n', '\n', 'Parameters', '\n', 'augmenter', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Override the default one to avoid duplicate dump.', '\n', '\n']",,,
"
class mxnet.image.DetHorizontalFlipAug(p)[source]Â¶","['Bases: ', 'mxnet.image.detection.DetAugmenter', '\n', 'Random horizontal flipping.', '\n', '\n', 'Parameters', '\n', 'p', '\n', '\n', '\n']",,,
"
class mxnet.image.DetRandomCropAug(min_object_covered=0.1, aspect_ratio_range=(0.75, 1.33), area_range=(0.05, 1.0), min_eject_coverage=0.3, max_attempts=50)[source]Â¶","['Bases: ', 'mxnet.image.detection.DetAugmenter', '\n', 'Random cropping with constraints', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n']",,,
"
class mxnet.image.DetRandomPadAug(aspect_ratio_range=(0.75, 1.33), area_range=(1.0, 3.0), max_attempts=50, pad_val=(128, 128, 128))[source]Â¶","['Bases: ', 'mxnet.image.detection.DetAugmenter', '\n', 'Random padding augmenter.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n']",,,
"
class mxnet.image.DetRandomSelectAug(aug_list, skip_prob=0)[source]Â¶","['Bases: ', 'mxnet.image.detection.DetAugmenter', '\n', 'Randomly select one augmenter to apply, with chance to skip all.', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', 'Methods', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Override default.', '\n', '\n']",,,
"
class mxnet.image.ForceResizeAug(size, interp=2)[source]Â¶","['Bases: ', 'mxnet.image.image.Augmenter', '\n', 'Force resize to size regardless of aspect ratio', '\n', '\n', 'Parameters', '\n', '\n', '\n', '\n', '\n']",,,
