"
class mxnet.ndarray.CachedOp(sym, flags=())[source]Â¶","['Bases: ', 'object', '\n', 'Cached operator handle.', '\n', '\n']"
"
mxnet.ndarray.contrib.interleaved_matmul_encdec_qk(queries=None, keys_values=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nqueries and keys in multihead attention use as encoder-decoder.', '\n', 'the inputs must be a tensor of projections of queries following the layout:\n(seq_length, batch_size, num_heads * head_dim)', '\n', 'and a tensor of interleaved projections of values and keys following the layout:\n(seq_length, batch_size, num_heads * head_dim * 2)', '\n', 'the equivalent code would be:\nq_proj = mx.nd.transpose(queries, axes=(1, 2, 0, 3))\nq_proj = mx.nd.reshape(q_proj, shape=(-1, 0, 0), reverse=True)\nq_proj = mx.nd.contrib.div_sqrt_dim(q_proj)\ntmp = mx.nd.reshape(keys_values, shape=(0, 0, num_heads, 2, -1))\nk_proj = mx.nd.transpose(tmp[:,:,:,0,:], axes=(1, 2, 0, 3))\nk_proj = mx.nd.reshap(k_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(q_proj, k_proj, transpose_b=True)', '\n', 'Defined in src/operator/contrib/transformer.cc:L753', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.interleaved_matmul_encdec_valatt(keys_values=None, attention=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nvalues and the attention weights in multihead attention use as encoder-decoder.', '\n', 'the inputs must be a tensor of interleaved projections of\nkeys and values following the layout:\n(seq_length, batch_size, num_heads * head_dim * 2)', '\n', 'and the attention weights following the layout:\n(batch_size, seq_length, seq_length)', '\n', 'the equivalent code would be:', '\n', 'tmp = mx.nd.reshape(queries_keys_values, shape=(0, 0, num_heads, 3, -1))\nv_proj = mx.nd.transpose(tmp[:,:,:,1,:], axes=(1, 2, 0, 3))\nv_proj = mx.nd.reshape(v_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(attention, v_proj, transpose_b=True)\noutput = mx.nd.reshape(output, shape=(-1, num_heads, 0, 0), reverse=True)\noutput = mx.nd.transpose(output, axes=(0, 2, 1, 3))\noutput = mx.nd.reshape(output, shape=(0, 0, -1))', '\n', 'Defined in src/operator/contrib/transformer.cc:L799', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.interleaved_matmul_selfatt_qk(queries_keys_values=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nqueries and keys in multihead attention use as self attention.', '\n', 'the input must be a single tensor of interleaved projections\nof queries, keys and values following the layout:\n(seq_length, batch_size, num_heads * head_dim * 3)', '\n', 'the equivalent code would be:\ntmp = mx.nd.reshape(queries_keys_values, shape=(0, 0, num_heads, 3, -1))\nq_proj = mx.nd.transpose(tmp[:,:,:,0,:], axes=(1, 2, 0, 3))\nq_proj = mx.nd.reshape(q_proj, shape=(-1, 0, 0), reverse=True)\nq_proj = mx.nd.contrib.div_sqrt_dim(q_proj)\nk_proj = mx.nd.transpose(tmp[:,:,:,1,:], axes=(1, 2, 0, 3))\nk_proj = mx.nd.reshap(k_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(q_proj, k_proj, transpose_b=True)', '\n', 'Defined in src/operator/contrib/transformer.cc:L665', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.interleaved_matmul_selfatt_valatt(queries_keys_values=None, attention=None, heads=_Null, out=None, name=None, **kwargs)Â¶","['Compute the matrix multiplication between the projections of\nvalues and the attention weights in multihead attention use as self attention.', '\n', 'the inputs must be a tensor of interleaved projections\nof queries, keys and values following the layout:\n(seq_length, batch_size, num_heads * head_dim * 3)', '\n', 'and the attention weights following the layout:\n(batch_size, seq_length, seq_length)', '\n', 'the equivalent code would be:\ntmp = mx.nd.reshape(queries_keys_values, shape=(0, 0, num_heads, 3, -1))\nv_proj = mx.nd.transpose(tmp[:,:,:,2,:], axes=(1, 2, 0, 3))\nv_proj = mx.nd.reshape(v_proj, shape=(-1, 0, 0), reverse=True)\noutput = mx.nd.batch_dot(attention, v_proj, transpose_b=True)\noutput = mx.nd.reshape(output, shape=(-1, num_heads, 0, 0), reverse=True)\noutput = mx.nd.transpose(output, axes=(0, 2, 1, 3))\noutput = mx.nd.reshape(output, shape=(0, 0, -1))', '\n', 'Defined in src/operator/contrib/transformer.cc:L709', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.intgemm_fully_connected(data=None, weight=None, scaling=None, bias=None, num_hidden=_Null, no_bias=_Null, flatten=_Null, out_type=_Null, out=None, name=None, **kwargs)Â¶","['Multiply matrices using 8-bit integers.  data * weight.', '\n', 'Input tensor arguments are: data weight [scaling] [bias]', '\n', 'data: either float32 or prepared using intgemm_prepare_data (in which case it is int8).', '\n', 'weight: must be prepared using intgemm_prepare_weight.', '\n', 'scaling: present if and only if out_type is float32. If so this is multiplied by the result before adding bias. Typically:\nscaling = (max passed to intgemm_prepare_weight)/127.0 if data is in float32\nscaling = (max_passed to intgemm_prepare_data)/127.0 * (max passed to intgemm_prepare_weight)/127.0 if data is in int8', '\n', 'bias: present if and only if !no_bias. This is added to the output after scaling and has the same number of columns as the output.', '\n', 'out_type: type of the output.', '\n', 'Defined in src/operator/contrib/intgemm/intgemm_fully_connected_op.cc:L283', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.intgemm_maxabsolute(data=None, out=None, name=None, **kwargs)Â¶","['Compute the maximum absolute value in a tensor of float32 fast on a CPU.  The tensorâ\x80\x99s total size must be a multiple of 16 and aligned to a multiple of 64 bytes.\nmxnet.nd.contrib.intgemm_maxabsolute(arr) == arr.abs().max()', '\n', 'Defined in src/operator/contrib/intgemm/max_absolute_op.cc:L101', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.intgemm_prepare_data(data=None, maxabs=None, out=None, name=None, **kwargs)Â¶","['This operator converts quantizes float32 to int8 while also banning -128.', '\n', 'It it suitable for preparing an data matrix for use by intgemmâ\x80\x99s C=data * weights operation.', '\n', 'The float32 values are scaled such that maxabs maps to 127. Typically maxabs = maxabsolute(A).', '\n', 'Defined in src/operator/contrib/intgemm/prepare_data_op.cc:L112', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.intgemm_prepare_weight(weight=None, maxabs=None, already_quantized=_Null, out=None, name=None, **kwargs)Â¶","['This operator converts a weight matrix in column-major format to intgemmâ\x80\x99s internal fast representation of weight matrices.  MXNet customarily stores weight matrices in column-major (transposed) format. This operator is not meant to be fast; it is meant to be run offline to quantize a model.', '\n', 'In other words, it prepares weight for the operation C = data * weight^T.', '\n', 'If the provided weight matrix is float32, it will be quantized first.  The quantization function is (int8_t)(127.0 / max * weight) where multiplier is provided as argument 1 (the weight matrix is argument 0).  Then the matrix will be rearranged into the CPU-dependent format.', '\n', 'If the provided weight matrix is already int8, the matrix will only be rearranged into the CPU-dependent format.  This way one can quantize with intgemm_prepare_data (which just quantizes), store to disk in a consistent format, then at load time convert to CPU-dependent format with intgemm_prepare_weight.', '\n', 'The internal representation depends on register length.  So AVX512, AVX2, and SSSE3 have different formats.  AVX512BW and AVX512VNNI have the same representation.', '\n', 'Defined in src/operator/contrib/intgemm/prepare_weight_op.cc:L153', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.intgemm_take_weight(weight=None, indices=None, out=None, name=None, **kwargs)Â¶","['Index a weight matrix stored in intgemmâ\x80\x99s weight format.\nThe indices select the outputs of matrix multiplication, not the inner dot product dimension.', '\n', 'Defined in src/operator/contrib/intgemm/take_weight_op.cc:L128', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quadratic(data=None, a=_Null, b=_Null, c=_Null, out=None, name=None, **kwargs)Â¶","['This operators implements the quadratic function.', '\n', '\n\\[f(x) = ax^2+bx+c\\]', '\n', 'where ', '\\(x\\)', ' is an input tensor and all operations\nin the function are element-wise.', '\n', 'Example:', '\n', None, '\n', '\n', '\n', 'The storage type of ', '\n', '\n', '\n', 'Defined in src/operator/contrib/quadratic_op.cc:L50', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantize(data=None, min_range=None, max_range=None, out_type=_Null, out=None, name=None, **kwargs)Â¶","['Quantize a input tensor from float to ', 'out_type', ',\nwith user-specified ', 'min_range', ' and ', 'max_range', '.', '\n', 'min_range and max_range are scalar floats that specify the range for\nthe input data.', '\n', 'When out_type is ', 'uint8', ', the output is calculated using the following equation:', '\n', 'out[i] = (in[i] - min_range) * range(OUTPUT_TYPE) / (max_range - min_range) + 0.5', ',', '\n', 'where ', 'range(T) = numeric_limits<T>::max() - numeric_limits<T>::min()', '.', '\n', 'When out_type is ', 'int8', ', the output is calculate using the following equation\nby keep zero centered for the quantized value:', '\n', 'out[i] = sign(in[i]) * min(abs(in[i] * scale + 0.5f, quantized_range)', ',', '\n', 'where\n', 'quantized_range = MinAbs(max(int8), min(int8))', ' and\n', 'scale = quantized_range / MaxAbs(min_range, max_range).', '\n', '\n', 'Note', '\n', 'This operator only supports forward propagation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantize.cc:L73', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantize_asym(data=None, min_calib_range=_Null, max_calib_range=_Null, out=None, name=None, **kwargs)Â¶","['Quantize a input tensor from float to uint8_t.\nOutput ', 'scale', ' and ', 'shift', ' are scalar floats that specify the quantization parameters for the input\ndata.\nThe output is calculated using the following equation:\n', 'out[i] = in[i] * scale + shift + 0.5', ',\nwhere ', 'scale = uint8_range / (max_range - min_range)', ' and\n', 'shift = numeric_limits<T>::max - max_range * scale', '.\n.. Note:', '\n', None, '\n', '\n', 'Defined in src/operator/quantization/quantize_asym.cc:L115', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantize_v2(data=None, out_type=_Null, min_calib_range=_Null, max_calib_range=_Null, out=None, name=None, **kwargs)Â¶","['Quantize a input tensor from float to ', 'out_type', ',\nwith user-specified ', 'min_calib_range', ' and ', 'max_calib_range', ' or the input range collected at runtime.', '\n', 'Output ', 'min_range', ' and ', 'max_range', ' are scalar floats that specify the range for the input data.', '\n', 'When out_type is ', 'uint8', ', the output is calculated using the following equation:', '\n', 'out[i] = (in[i] - min_range) * range(OUTPUT_TYPE) / (max_range - min_range) + 0.5', ',', '\n', 'where ', 'range(T) = numeric_limits<T>::max() - numeric_limits<T>::min()', '.', '\n', 'When out_type is ', 'int8', ', the output is calculate using the following equation\nby keep zero centered for the quantized value:', '\n', 'out[i] = sign(in[i]) * min(abs(in[i] * scale + 0.5f, quantized_range)', ',', '\n', 'where\n', 'quantized_range = MinAbs(max(int8), min(int8))', ' and\n', 'scale = quantized_range / MaxAbs(min_range, max_range).', '\n', 'When out_type is ', 'auto', ', the output type is automatically determined by min_calib_range if presented.\nIf min_calib_range < 0.0f, the output type will be int8, otherwise will be uint8.\nIf min_calib_range isnâ\x80\x99t presented, the output type will be int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propagation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantize_v2.cc:L90', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_act(data=None, min_data=None, max_data=None, act_type=_Null, out=None, name=None, **kwargs)Â¶","['Activation operator for input and output data type of int8.\nThe input and output data comes with min and max thresholds for quantizing\nthe float32 data into int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.\nThis operator only supports ', '\n', '\n', 'Defined in src/operator/quantization/quantized_activation.cc:L90', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_batch_norm(data=None, gamma=None, beta=None, moving_mean=None, moving_var=None, min_data=None, max_data=None, eps=_Null, momentum=_Null, fix_gamma=_Null, use_global_stats=_Null, output_mean_var=_Null, axis=_Null, cudnn_off=_Null, min_calib_range=_Null, max_calib_range=_Null, out=None, name=None, **kwargs)Â¶","['BatchNorm operator for input and output data type of int8.\nThe input and output data comes with min and max thresholds for quantizing\nthe float32 data into int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantized_batch_norm.cc:L94', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_concat(*data, **kwargs)Â¶","['Joins input arrays along a given axis.', '\n', 'The dimensions of the input arrays should be the same except the axis along\nwhich they will be concatenated.\nThe dimension of the output array along the concatenated axis will be equal\nto the sum of the corresponding dimensions of the input arrays.\nAll inputs with different min/max will be rescaled by using largest [min, max] pairs.\nIf any input holds int8, then the output will be int8. Otherwise output will be uint8.', '\n', 'Defined in src/operator/quantization/quantized_concat.cc:L107', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_conv(data=None, weight=None, bias=None, min_data=None, max_data=None, min_weight=None, max_weight=None, min_bias=None, max_bias=None, kernel=_Null, stride=_Null, dilate=_Null, pad=_Null, num_filter=_Null, num_group=_Null, workspace=_Null, no_bias=_Null, cudnn_tune=_Null, cudnn_off=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['Convolution operator for input, weight and bias data type of int8,\nand accumulates in type int32 for the output. For each argument, two more arguments of type\nfloat32 must be provided representing the thresholds of quantizing argument from data\ntype float32 to int8. The final outputs contain the convolution result in int32, and min\nand max thresholds representing the threholds for quantizing the float32 output into int32.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantized_conv.cc:L187', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_elemwise_add(lhs=None, rhs=None, lhs_min=None, lhs_max=None, rhs_min=None, rhs_max=None, out=None, name=None, **kwargs)Â¶","['elemwise_add operator for input dataA and input dataB data type of int8,\nand accumulates in type int32 for the output. For each argument, two more arguments of type\nfloat32 must be provided representing the thresholds of quantizing argument from data\ntype float32 to int8. The final outputs contain result in int32, and min\nand max thresholds representing the threholds for quantizing the float32 output into int32.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_elemwise_mul(lhs=None, rhs=None, lhs_min=None, lhs_max=None, rhs_min=None, rhs_max=None, min_calib_range=_Null, max_calib_range=_Null, enable_float_output=_Null, out=None, name=None, **kwargs)Â¶","['Multiplies arguments int8 element-wise.', '\n', 'Defined in src/operator/quantization/quantized_elemwise_mul.cc:L221', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_embedding(data=None, weight=None, min_weight=None, max_weight=None, input_dim=_Null, output_dim=_Null, dtype=_Null, sparse_grad=_Null, out=None, name=None, **kwargs)Â¶","['Maps integer indices to int8 vector representations (embeddings).', '\n', 'Defined in src/operator/quantization/quantized_indexing_op.cc:L133', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_flatten(data=None, min_data=None, max_data=None, out=None, name=None, **kwargs)Â¶","['\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_fully_connected(data=None, weight=None, bias=None, min_data=None, max_data=None, min_weight=None, max_weight=None, min_bias=None, max_bias=None, num_hidden=_Null, no_bias=_Null, flatten=_Null, out=None, name=None, **kwargs)Â¶","['Fully Connected operator for input, weight and bias data type of int8,\nand accumulates in type int32 for the output. For each argument, two more arguments of type\nfloat32 must be provided representing the thresholds of quantizing argument from data\ntype float32 to int8. The final outputs contain the convolution result in int32, and min\nand max thresholds representing the threholds for quantizing the float32 output into int32.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/quantized_fully_connected.cc:L312', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_pooling(data=None, min_data=None, max_data=None, kernel=_Null, pool_type=_Null, global_pool=_Null, cudnn_off=_Null, pooling_convention=_Null, stride=_Null, pad=_Null, p_value=_Null, count_include_pad=_Null, layout=_Null, out=None, name=None, **kwargs)Â¶","['Pooling operator for input and output data type of int8.\nThe input and output data comes with min and max thresholds for quantizing\nthe float32 data into int8.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.\nThis operator only supports ', '\n', '\n', 'Defined in src/operator/quantization/quantized_pooling.cc:L186', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.quantized_rnn(data=None, parameters=None, state=None, state_cell=None, data_scale=None, data_shift=None, state_size=_Null, num_layers=_Null, bidirectional=_Null, mode=_Null, p=_Null, state_outputs=_Null, projection_size=_Null, lstm_state_clip_min=_Null, lstm_state_clip_max=_Null, lstm_state_clip_nan=_Null, use_sequence_length=_Null, out=None, name=None, **kwargs)Â¶","['RNN operator for input data type of uint8. The weight of each gates is converted\nto int8, while bias is accumulated in type float32. The hidden state and cell state are in type\nfloat32. For the input data, two more arguments of type float32 must be provided representing the\nthresholds of quantizing argument from data type float32 to uint8. The final outputs contain the\nrecurrent result in float32. It only supports quantization for Vanilla LSTM network.\n.. Note:', '\n', None, '\n', '\n', 'Defined in src/operator/quantization/quantized_rnn.cc:L298', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.requantize(data=None, min_range=None, max_range=None, out_type=_Null, min_calib_range=_Null, max_calib_range=_Null, out=None, name=None, **kwargs)Â¶","['Given data that is quantized in int32 and the corresponding thresholds,\nrequantize the data into int8 using min and max thresholds either calculated at runtime\nor from calibration. Itâ\x80\x99s highly recommended to pre-calucate the min and max thresholds\nthrough calibration since it is able to save the runtime of the operator and improve the\ninference accuracy.', '\n', '\n', 'Note', '\n', 'This operator only supports forward propogation. DO NOT use it in training.', '\n', '\n', 'Defined in src/operator/quantization/requantize.cc:L59', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.round_ste(data=None, out=None, name=None, **kwargs)Â¶","['Straight-through-estimator of ', 'round()', '.', '\n', 'In forward pass, returns element-wise rounded value to the nearest integer of the input (same as ', 'round()', ').', '\n', 'In backward pass, returns gradients of ', '1', ' everywhere (instead of ', '0', ' everywhere as in ', 'round()', '):\n', '\\(\\frac{d}{dx}{round\\_ste(x)} = 1\\)', ' vs. ', '\\(\\frac{d}{dx}{round(x)} = 0\\)', '.\nThis is useful for quantized training.', '\n', 'Reference: Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation.', '\n', '\n', 'Example::', 'x = round_ste([-1.5, 1.5, -1.9, 1.9, 2.7])\nx.backward()\nx = [-2.,  2., -2.,  2.,  3.]\nx.grad() = [1.,  1., 1.,  1.,  1.]', '\n', 'The storage type of ', '\n', '\n', '\n', 'Defined in src/operator/contrib/stes_op.cc:L54', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.contrib.sign_ste(data=None, out=None, name=None, **kwargs)Â¶","['Straight-through-estimator of ', 'sign()', '.', '\n', 'In forward pass, returns element-wise sign of the input (same as ', 'sign()', ').', '\n', 'In backward pass, returns gradients of ', '1', ' everywhere (instead of ', '0', ' everywhere as in ', 'sign()', '):\n', '\\(\\frac{d}{dx}{sign\\_ste(x)} = 1\\)', ' vs. ', '\\(\\frac{d}{dx}{sign(x)} = 0\\)', '.\nThis is useful for quantized training.', '\n', 'Reference: Estimating or Propagating Gradients Through Stochastic Neurons for Conditional Computation.', '\n', '\n', 'Example::', 'x = sign_ste([-2, 0, 3])\nx.backward()\nx = [-1.,  0., 1.]\nx.grad() = [1.,  1., 1.]', '\n', 'The storage type of ', '\n', '\n', '\n', 'Defined in src/operator/contrib/stes_op.cc:L79', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.adjust_lighting(data=None, alpha=_Null, out=None, name=None, **kwargs)Â¶","['Adjust the lighting level of the input. Follow the AlexNet style.', '\n', 'Defined in src/operator/image/image_random.cc:L254', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.crop(data=None, x=_Null, y=_Null, width=_Null, height=_Null, out=None, name=None, **kwargs)Â¶","['Crop an image NDArray of shape (H x W x C) or (N x H x W x C)\nto the given size.\n.. rubric:: Example', '\n', 'Defined in src/operator/image/crop.cc:L65', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.flip_left_right(data=None, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L195', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.flip_top_bottom(data=None, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L205', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.normalize(data=None, mean=_Null, std=_Null, out=None, name=None, **kwargs)Â¶","['\n', 'Normalize an tensor of shape (C x H x W) or (N x C x H x W) with mean and', 'standard deviation.', '\n', '\n', '\n\\[ \\begin{align}\\begin{aligned}    output[i] = (input[i] - m\\ :sub:`i`\\ ) / s\\ :sub:`i`\\\\If mean or std is scalar, the same value will be applied to all channels.\\\\Default value for mean is 0.0 and stand deviation is 1.0.\\end{aligned}\\end{align} \\]', '\n', 'Example', '\n', 'Defined in src/operator/image/image_random.cc:L167', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_brightness(data=None, min_factor=_Null, max_factor=_Null, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L215', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_color_jitter(data=None, brightness=_Null, contrast=_Null, saturation=_Null, hue=_Null, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L246', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_contrast(data=None, min_factor=_Null, max_factor=_Null, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L222', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_flip_left_right(data=None, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L200', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_flip_top_bottom(data=None, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L210', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_hue(data=None, min_factor=_Null, max_factor=_Null, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L238', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_lighting(data=None, alpha_std=_Null, out=None, name=None, **kwargs)Â¶","['Randomly add PCA noise. Follow the AlexNet style.', '\n', 'Defined in src/operator/image/image_random.cc:L262', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.random_saturation(data=None, min_factor=_Null, max_factor=_Null, out=None, name=None, **kwargs)Â¶","['Defined in src/operator/image/image_random.cc:L230', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
"
mxnet.ndarray.image.resize(data=None, size=_Null, keep_ratio=_Null, interp=_Null, out=None, name=None, **kwargs)Â¶","['Resize an image NDArray of shape (H x W x C) or (N x H x W x C)\nto the given size\n.. rubric:: Example', '\n', 'Defined in src/operator/image/resize.cc:L70', '\n', '\n', 'Parameters', '\n', '\n', '\n', 'Returns', '\n', 'out', '\n', 'Return type', '\n', 'NDArray', '\n', '\n', '\n']"
