API,Description,Example1,Example2,,
"
 Tensor. view_as ( other )   → ¶","View this tensor as the same size as  other .
 self.view_as(other)  is equivalent to  self.view(other.size()) . Please see  view()  for more information about  view . 
 Parameters 
 other 
",,,,
"
 Tensor. vsplit ( split_size_or_sections )   → ¶",See  torch.vsplit(),,,,
"
 Tensor. where ( condition ,  y )   → ¶","self.where(condition,  is equivalent to  torch.where(condition, .
See  torch.where()",,,,
"
 Tensor. xlogy ( other )   → ¶",See  torch.xlogy(),,,,
"
 Tensor. xlogy_ ( other )   → ¶",In-place version of  xlogy(),,,,
"
 Tensor. zero_ ( )   → ¶",Fills  self  tensor with zeros.,,,,
"
 torch.cuda. set_device ( device ) [source] ¶","Sets the current device. Usage of this function is discouraged in favor of  device . In most
cases it’s better to use  CUDA_VISIBLE_DEVICES  environmental variable. 
 Parameters 
 device 
",,,,
"
 torch.cuda. current_device ( ) [source] ¶","Returns the index of a currently selected device. 
 Return type 
 int 
",,,,
"
 torch.autograd. backward ( tensors ,  grad_tensors ,  retain_graph ,  create_graph ,  grad_variables ,  inputs ) [source] ¶","Computes the sum of gradients of given tensors with respect to graph
leaves. The graph is differentiated using the chain rule. If any of  tensors 
are non-scalar (i.e. their data has more than one element) and require
gradient, then the Jacobian-vector product would be computed, in this
case the function additionally requires specifying  grad_tensors .
It should be a sequence of matching length, that contains the “vector”
in the Jacobian-vector product, usually the gradient of the differentiated
function w.r.t. corresponding tensors ( None  is an acceptable value for
all tensors that don’t need gradient tensors). This function accumulates gradients in the leaves - you might need to zero
 .grad  attributes or set them to  None  before calling it.
See  Default gradient layouts 
for details on the memory layout of accumulated gradients. 
 Note 
 Using this method with  
 
 Note 
 If you run any forward ops, create  
 
 Note 
 When  
 
 Parameters 
 
 
",,,,
"
 torch.autograd. grad ( outputs ,  inputs ,  grad_outputs ,  retain_graph ,  create_graph ,  only_inputs ,  allow_unused ,  is_grads_batched ) [source] ¶","Computes and returns the sum of gradients of outputs with respect to
the inputs. grad_outputs  should be a sequence of length matching  output 
containing the “vector” in vector-Jacobian product, usually the pre-computed
gradients w.r.t. each of the outputs. If an output doesn’t require_grad,
then the gradient can be  None ). 
 Note 
 If you run any forward ops, create  
 
 Note 
 only_inputs 
 
 Parameters 
 
 
 Return type 
 Tuple 
",,,,
"
 class torch.autograd.forward_ad. dual_level [source] ¶","Context-manager that enables forward AD. All forward AD computation must
be performed in a  dual_level  context. 
 Note 
 The  
 We currently don’t plan to support nested  
 Example: 
 Please see the  forward-mode AD tutorial 
for detailed steps on how to use this API.",">>> x=torch.tensor([1])
>>> x_t=torch.tensor([1])
>>> withdual_level():
... inp=make_dual(x,x_t)
... # Do computations with inp
... out=your_fn(inp)
... _,grad=unpack_dual(out)
>>> gradisNone
False
>>> # After exiting the level, the grad is deleted
>>> _,grad_after=unpack_dual(out)
>>> gradisNone
True
",,,
"
 torch.autograd.forward_ad. make_dual ( tensor ,  tangent ,  * ,  level ) [source] ¶","Associates a tensor value with a forward gradient, the tangent, to create a
“dual tensor”, which is used to compute forward AD gradients.
The result is a new tensor aliased to  tensor  with  tangent  embedded
as an attribute as-is if it has the same storage layout or copied otherwise.
The tangent attribute can be recovered with  unpack_dual() . This function is backward differentiable. Given a function  f  whose jacobian is  J , it allows one to compute the Jacobian-vector product ( jvp )
between  J  and a given vector  v  as follows. Example: 
 Please see the  forward-mode AD tutorial 
for detailed steps on how to use this API.",">>> withdual_level():
... inp=make_dual(x,v)
... out=f(inp)
... y,jvp=unpack_dual(out)
",,,
"
 torch.autograd.forward_ad. unpack_dual ( tensor ,  * ,  level ) [source] ¶","Unpacks a “dual tensor” to get both its Tensor value and its forward AD gradient.
The result is a namedtuple  (primal,  where  primal  is a view of
 tensor ’s primal and  tangent  is  tensor ’s tangent as-is.
Neither of these tensors can be dual tensor of level  level . This function is backward differentiable. Example: 
 Please see the  forward-mode AD tutorial 
for detailed steps on how to use this API.",">>> withdual_level():
... inp=make_dual(x,x_t)
... out=f(inp)
... y,jvp=unpack_dual(out)
... jvp=unpack_dual(out).tangent
",,,
"
 torch.autograd.functional. jacobian ( func ,  inputs ,  create_graph ,  strict ,  vectorize ,  strategy ) [source] ¶","Function that computes the Jacobian of a given function. 
 Parameters 
 
 
 Returns 
 if there is a single
input and output, this will be a single Tensor containing the
Jacobian for the linearized inputs and output. If one of the two is
a tuple, then the Jacobian will be a tuple of Tensors. If both of
them are tuples, then the Jacobian will be a tuple of tuple of
Tensors where  
 Return type 
 Jacobian ( 
 Example 
 
 
",,,,
"
 torch.autograd.functional. hessian ( func ,  inputs ,  create_graph ,  strict ,  vectorize ,  outer_jacobian_strategy ) [source] ¶","Function that computes the Hessian of a given scalar function. 
 Parameters 
 
 
 Returns 
 if there is a single input,
this will be a single Tensor containing the Hessian for the input.
If it is a tuple, then the Hessian will be a tuple of tuples where
 
 Return type 
 Hessian ( 
 Example 
 
 
",,,,
"
 torch.autograd.functional. vjp ( func ,  inputs ,  v ,  create_graph ,  strict ) [source] ¶","Function that computes the dot product between a vector  v  and the
Jacobian of the given function at the point given by the inputs. 
 Parameters 
 
 
 Returns 
 
 
 Return type 
 output ( 
 Example 
 
 
",,,,
"
 torch.autograd.functional. jvp ( func ,  inputs ,  v ,  create_graph ,  strict ) [source] ¶","Function that computes the dot product between  the Jacobian of
the given function at the point given by the inputs and a vector  v . 
 Parameters 
 
 
 Returns 
 
 
 Return type 
 output ( 
 
 Note 
 autograd.functional.jvp 
 Example 
 
 
",,,,
"
 torch.autograd.functional. vhp ( func ,  inputs ,  v ,  create_graph ,  strict ) [source] ¶","Function that computes the dot product between a vector  v  and the
Hessian of a given scalar function at the point given by the inputs. 
 Parameters 
 
 
 Returns 
 
 
 Return type 
 output ( 
 Example 
",,,,
"
 torch.autograd.functional. hvp ( func ,  inputs ,  v ,  create_graph ,  strict ) [source] ¶","Function that computes the dot product between the Hessian of a given scalar
function and a vector  v  at the point given by the inputs. 
 Parameters 
 
 
 Returns 
 
 
 Return type 
 output ( 
 Example 
 
 
 
 Note 
 This function is significantly slower than  
",,,,
"
 static Function. forward ( ctx ,  * ,  ** ) [source] ¶","Performs the operation. This function is to be overridden by all subclasses. It must accept a context ctx as the first argument, followed by any
number of arguments (tensors or other types). The context can be used to store arbitrary data that can be then
retrieved during the backward pass. Tensors should not be stored
directly on  ctx  (though this is not currently enforced for
backward compatibility). Instead, tensors should be saved either with
 ctx.save_for_backward()  if they are intended to be used in
 backward  (equivalently,  vjp ) or  ctx.save_for_forward() 
if they are intended to be used for in  jvp . 
 Return type 
 Any 
",,,,
"
 torch.autograd. gradcheck ( func ,  inputs ,  * ,  eps ,  atol ,  rtol ,  raise_exception ,  check_sparse_nnz ,  nondet_tol ,  check_undefined_grad ,  check_grad_dtypes ,  check_batched_grad ,  check_batched_forward_grad ,  check_forward_ad ,  check_backward_ad ,  fast_mode ) [source] ¶","Check gradients computed via small finite differences against analytical
gradients w.r.t. tensors in  inputs  that are of floating point or complex type
and with  requires_grad=True . The check between numerical and analytical gradients uses  allclose() . For most of the complex functions we consider for optimization purposes, no notion of
Jacobian exists. Instead, gradcheck verifies if the numerical and analytical values of
the Wirtinger and Conjugate Wirtinger derivatives are consistent. Because the gradient
computation is done under the assumption that the overall function has a real-valued
output, we treat functions with complex output in a special way. For these functions,
gradcheck is applied to two real-valued functions corresponding to taking the real
components of the complex outputs for the first, and taking the imaginary components
of the complex outputs for the second. For more details, check out
 Autograd for Complex Numbers . 
 Note 
 The default values are designed for  
 
 Warning 
 If any checked tensor in  
 
 Parameters 
 
 
 Returns 
 True if all differences satisfy allclose condition 
 Return type 
 bool 
",,,,
"
 static Function. backward ( ctx ,  * ) [source] ¶","Defines a formula for differentiating the operation with backward mode
automatic differentiation (alias to the vjp function). This function is to be overridden by all subclasses. It must accept a context  ctx  as the first argument, followed by
as many outputs as the  forward()  returned (None will be passed in
for non tensor outputs of the forward function),
and it should return as many tensors, as there were inputs to
 forward() . Each argument is the gradient w.r.t the given output,
and each returned value should be the gradient w.r.t. the
corresponding input. If an input is not a Tensor or is a Tensor not
requiring grads, you can just pass None as a gradient for that input. The context can be used to retrieve tensors saved during the forward
pass. It also has an attribute  ctx.needs_input_grad  as a tuple
of booleans representing whether each input needs gradient. E.g.,
 backward()  will have  ctx.needs_input_grad[0]  if the
first input to  forward()  needs gradient computated w.r.t. the
output. 
 Return type 
 Any 
",,,,
"
 static Function. jvp ( ctx ,  * ) [source] ¶","Defines a formula for differentiating the operation with forward mode
automatic differentiation.
This function is to be overridden by all subclasses.
It must accept a context  ctx  as the first argument, followed by
as many inputs as the  forward()  got (None will be passed in
for non tensor inputs of the forward function),
and it should return as many tensors as there were outputs to
 forward() . Each argument is the gradient w.r.t the given input,
and each returned value should be the gradient w.r.t. the
corresponding output. If an output is not a Tensor or the function is not
differentiable with respect to that output, you can just pass None as a
gradient for that input. You can use the  ctx  object to pass any value from the forward to this
functions. 
 Return type 
 Any 
",,,,
"
 FunctionCtx. mark_dirty ( * ) [source] ¶","Marks given tensors as modified in an in-place operation. This should be called at most once, only from inside the 
 forward()   method, and all arguments should be inputs. Every tensor that’s been modified in-place in a call to  forward() 
should be given to this function, to ensure correctness of our checks.
It doesn’t matter whether the function is called before or after
modification. 
 Examples:: 
 
",,,,
"
 FunctionCtx. mark_non_differentiable ( * ) [source] ¶","Marks outputs as non-differentiable. This should be called at most once, only from inside the 
 forward()   method, and all arguments should be tensor outputs. This will mark outputs as not requiring gradients, increasing the
efficiency of backward computation. You still need to accept a gradient
for each output in  backward() , but it’s always going to
be a zero tensor with the same shape as the shape of a corresponding
output. 
 This is used e.g. for indices returned from a sort. See example:: 
 
",,,,
"
 FunctionCtx. save_for_backward ( * ) [source] ¶","Saves given tensors for a future call to  backward() . save_for_backward  should be called at most once, only from inside the
 forward()  method, and only with tensors. All tensors intended to be used in the backward pass should be saved
with  save_for_backward  (as opposed to directly on  ctx ) to prevent
incorrect gradients and memory leaks, and enable the application of saved
tensor hooks. See  torch.autograd.graph.saved_tensors_hooks . Note that if intermediary tensors, tensors that are neither inputs
nor outputs of  forward() , are saved for backward, your custom Function
may not support double backward.
Custom Functions that do not support double backward should decorate their
 backward()  method with  @once_differentiable  so that performing
double backward raises an error. If you’d like to support double backward,
you can either recompute intermediaries based on the inputs during backward
or return the intermediaries as the outputs of the custom Function. See the
 double backward tutorial 
for more details. In  backward() , saved tensors can be accessed through the  saved_tensors 
attribute. Before returning them to the user, a check is made to ensure
they weren’t used in any in-place operation that modified their content. Arguments can also be  None . This is a no-op. See  Extending torch.autograd  for more details on how to use this method. 
 Example:: 
 
",,,,
"
 FunctionCtx. set_materialize_grads ( value ) [source] ¶","Sets whether to materialize output grad tensors. Default is  True . This should be called only from inside the   forward()   method If  True , undefined output grad tensors will be expanded to tensors full
of zeros prior to calling the  backward()  method. 
 Example:: 
 
",,,,
"
 torch.autograd. gradgradcheck ( func ,  inputs ,  grad_outputs ,  * ,  eps ,  atol ,  rtol ,  gen_non_contig_grad_outputs ,  raise_exception ,  nondet_tol ,  check_undefined_grad ,  check_grad_dtypes ,  check_batched_grad ,  check_fwd_over_rev ,  check_rev_over_rev ,  fast_mode ) [source] ¶","Check gradients of gradients computed via small finite differences
against analytical gradients w.r.t. tensors in  inputs  and
 grad_outputs  that are of floating point or complex type and with
 requires_grad=True . This function checks that backpropagating through the gradients computed
to the given  grad_outputs  are correct. The check between numerical and analytical gradients uses  allclose() . 
 Note 
 The default values are designed for  
 
 Warning 
 If any checked tensor in  
 
 Parameters 
 
 
 Returns 
 True if all differences satisfy allclose condition 
 Return type 
 bool 
",,,,
"
 profile. export_chrome_trace ( path ) [source] ¶","Exports an EventList as a Chrome tracing tools file. The checkpoint can be later loaded and inspected under  chrome://tracing  URL. 
 Parameters 
 path 
",,,,
"
 profile. key_averages ( group_by_input_shape ,  group_by_stack_n ) [source] ¶","Averages all function events over their keys. 
 Parameters 
 
 
 Returns 
 An EventList containing FunctionEventAvg objects. 
",,,,
"
 property profile. self_cpu_time_total ¶","Returns total time spent on CPU obtained as a sum of
all self times across all the events.",,,,
"
 profile. total_average ( ) [source] ¶","Averages all events. 
 Returns 
 A FunctionEventAvg object. 
",,,,
"
 torch.autograd.profiler. load_nvprof ( path ) [source] ¶","Opens an nvprof trace file and parses autograd annotations. 
 Parameters 
 path 
",,,,
"
 class torch.cuda. StreamContext ( stream ) [source] ¶","Context-manager that selects a given stream. All CUDA kernels queued within its context will be enqueued on a selected
stream. 
 Parameters 
 Stream 
 
 Note 
 Streams are per-device. 
",,,,
"
 torch.cuda. is_available ( ) [source] ¶","Returns a bool indicating if CUDA is currently available. 
 Return type 
 bool 
",,,,
"
 torch.cuda. can_device_access_peer ( device ,  peer_device ) [source] ¶","Checks if peer access between two devices is possible. 
 Return type 
 bool 
",,,,
"
 torch.cuda. current_blas_handle ( ) [source] ¶",Returns cublasHandle_t pointer to current cuBLAS handle,,,,
"
 torch.cuda. current_stream ( device ) [source] ¶","Returns the currently selected  Stream  for a given device. 
 Parameters 
 device 
 Return type 
 Stream 
",,,,
"
 class torch.cuda. Stream ( device ,  priority ,  ** ) [source] ¶","Wrapper around a CUDA stream. A CUDA stream is a linear sequence of execution that belongs to a specific
device, independent from other streams.  See  CUDA semantics  for
details. 
 Parameters 
 
 
 
 Note 
 Although CUDA versions >= 11 support more than two levels of
priorities, in PyTorch, we only support two levels of priorities. 
 
 
 
 Checks if all the work submitted has been completed. 
 
 
 Records an event. 
 
 
 Wait for all the kernels in this stream to complete. 
 
 
 Makes all future work submitted to the stream wait for an event. 
 
 
 Synchronizes with another stream.",,,,
"
 torch.cuda. default_stream ( device ) [source] ¶","Returns the default  Stream  for a given device. 
 Parameters 
 device 
 Return type 
 Stream 
",,,,
"
 class torch.cuda. device ( device ) [source] ¶","Context-manager that changes the selected device. 
 Parameters 
 device 
",,,,
"
 torch.cuda. device_count ( ) [source] ¶","Returns the number of GPUs available. 
 Return type 
 int 
",,,,
"
 class torch.cuda. device_of ( obj ) [source] ¶","Context-manager that changes the current device to that of given object. You can use both tensors and storages as arguments. If a given object is
not allocated on a GPU, this is a no-op. 
 Parameters 
 obj 
",,,,
"
 torch.cuda. get_arch_list ( ) [source] ¶","Returns list CUDA architectures this library was compiled for. 
 Return type 
 List 
",,,,
"
 torch.cuda. get_device_capability ( device ) [source] ¶","Gets the cuda capability of a device. 
 Parameters 
 device 
 Returns 
 the major and minor cuda capability of the device 
 Return type 
 tuple 
",,,,
"
 torch.cuda. get_device_name ( device ) [source] ¶","Gets the name of a device. 
 Parameters 
 device 
 Returns 
 the name of the device 
 Return type 
 str 
",,,,
"
 torch.cuda. get_device_properties ( device ) [source] ¶","Gets the properties of a device. 
 Parameters 
 device 
 Returns 
 the properties of the device 
 Return type 
 _CudaDeviceProperties 
",,,,
"
 torch.cuda. get_gencode_flags ( ) [source] ¶","Returns NVCC gencode flags this library was compiled with. 
 Return type 
 str 
",,,,
"
 torch.cuda. get_sync_debug_mode ( ) [source] ¶","Returns current value of debug mode for cuda synchronizing operations. 
 Return type 
 int 
",,,,
"
 torch.cuda. init ( ) [source] ¶","Initialize PyTorch’s CUDA state.  You may need to call
this explicitly if you are interacting with PyTorch via
its C API, as Python bindings for CUDA functionality will not
be available until this initialization takes place.  Ordinary users
should not need this, as all of PyTorch’s CUDA methods
automatically initialize CUDA state on-demand. Does nothing if the CUDA state is already initialized.",,,,
"
 torch.cuda. ipc_collect ( ) [source] ¶","Force collects GPU memory after it has been released by CUDA IPC. 
 Note 
 Checks if any sent CUDA tensors could be cleaned from the memory. Force
closes shared memory file used for reference counting if there is no
active counters. Useful when the producer process stopped actively sending
tensors and want to release unused memory. 
",,,,
"
 torch.cuda. is_initialized ( ) [source] ¶",Returns whether PyTorch’s CUDA state has been initialized.,,,,
"
 torch.cuda. memory_usage ( device ) [source] ¶","Returns the percent of time over the past sample period during which global (device)
memory was being read or written. as given by  nvidia-smi . 
 Parameters 
 device 
 Return type 
 int 
 Warning: Each sample period may be between 1 second and 1/6 second,
depending on the product being queried.",,,,
"
 torch.cuda. set_stream ( stream ) [source] ¶","
 Sets the current stream.This is a wrapper API to set the stream. Usage of this function is discouraged in favor of the  
 
 Parameters 
 stream 
",,,,
"
 torch.cuda. set_sync_debug_mode ( debug_mode ) [source] ¶","Sets the debug mode for cuda synchronizing operations. 
 Parameters 
 debug_mode 
 
 Warning 
 This is an experimental feature, and not all synchronizing operations will trigger warning or error. In
particular, operations in torch.distributed and torch.sparse namespaces are not covered yet. 
",,,,
"
 torch.cuda. stream ( stream ) [source] ¶","Wrapper around the Context-manager StreamContext that
selects a given stream. 
 Parameters 
 stream 
 Return type 
 StreamContext 
 ..Note:: In eager mode stream is of type Stream class while in JIT it is
an object of the custom class  torch.classes.cuda.Stream .",,,,
"
 torch.cuda. synchronize ( device ) [source] ¶","Waits for all kernels in all streams on a CUDA device to complete. 
 Parameters 
 device 
",,,,
"
 torch.cuda. utilization ( device ) [source] ¶","Returns the percent of time over the past sample period during which one or
more kernels was executing on the GPU as given by  nvidia-smi . 
 Parameters 
 device 
 Return type 
 int 
 Warning: Each sample period may be between 1 second and 1/6 second,
depending on the product being queried.",,,,
"
 exception torch.cuda. OutOfMemoryError ¶",Exception raised when CUDA is out of memory,,,,
"
 torch.cuda. get_rng_state ( device ) [source] ¶","Returns the random number generator state of the specified GPU as a ByteTensor. 
 Parameters 
 device 
 Return type 
 Tensor 
 
 Warning 
 This function eagerly initializes CUDA. 
",,,,
"
 torch.cuda. get_rng_state_all ( ) [source] ¶","Returns a list of ByteTensor representing the random number states of all devices. 
 Return type 
 List 
",,,,
"
 torch.cuda. set_rng_state ( new_state ,  device ) [source] ¶","Sets the random number generator state of the specified GPU. 
 Parameters 
 
 
",,,,
"
 torch.cuda. set_rng_state_all ( new_states ) [source] ¶","Sets the random number generator state of all devices. 
 Parameters 
 new_states 
",,,,
"
 torch.cuda. manual_seed ( seed ) [source] ¶","Sets the seed for generating random numbers for the current GPU.
It’s safe to call this function if CUDA is not available; in that
case, it is silently ignored. 
 Parameters 
 seed 
 
 Warning 
 If you are working with a multi-GPU model, this function is insufficient
to get determinism.  To seed all GPUs, use  
",,,,
"
 torch.cuda. manual_seed_all ( seed ) [source] ¶","Sets the seed for generating random numbers on all GPUs.
It’s safe to call this function if CUDA is not available; in that
case, it is silently ignored. 
 Parameters 
 seed 
",,,,
"
 torch.cuda. seed ( ) [source] ¶","Sets the seed for generating random numbers to a random number for the current GPU.
It’s safe to call this function if CUDA is not available; in that
case, it is silently ignored. 
 Warning 
 If you are working with a multi-GPU model, this function will only initialize
the seed on one GPU.  To initialize all GPUs, use  
 
",,,,
"
 torch.cuda. seed_all ( ) [source] ¶","Sets the seed for generating random numbers to a random number on all GPUs.
It’s safe to call this function if CUDA is not available; in that
case, it is silently ignored. 
",,,,
"
 torch.cuda. initial_seed ( ) [source] ¶","Returns the current random seed of the current GPU. 
 Warning 
 This function eagerly initializes CUDA. 
 
 Return type 
 int 
",,,,
"
 torch.cuda.comm. broadcast ( tensor ,  devices ,  * ,  out ) [source] ¶","Broadcasts a tensor to specified GPU devices. 
 Parameters 
 
 
 
 Note 
 Exactly one of  
 
 Returns 
 
 
",,,,
"
 torch.cuda.comm. broadcast_coalesced ( tensors ,  devices ,  buffer_size ) [source] ¶","Broadcasts a sequence tensors to the specified GPUs.
Small tensors are first coalesced into a buffer to reduce the number
of synchronizations. 
 Parameters 
 
 
 Returns 
 A tuple containing copies of  
",,,,
"
 torch.cuda.comm. reduce_add ( inputs ,  destination ) [source] ¶","Sums tensors from multiple GPUs. All inputs should have matching shapes, dtype, and layout. The output tensor
will be of the same shape, dtype, and layout. 
 Parameters 
 
 
 Returns 
 A tensor containing an elementwise sum of all inputs, placed on the
 
",,,,
"
 torch.cuda.comm. scatter ( tensor ,  devices ,  chunk_sizes ,  dim ,  streams ,  * ,  out ) [source] ¶","Scatters tensor across multiple GPUs. 
 Parameters 
 
 
 
 Note 
 Exactly one of  
 
 Returns 
 
 
",,,,
"
 torch.cuda.comm. gather ( tensors ,  dim ,  destination ,  * ,  out ) [source] ¶","Gathers tensors from multiple GPU devices. 
 Parameters 
 
 
 
 Note 
 destination 
 
 Returns 
 
 
",,,,
"
 class torch.cuda. ExternalStream ( stream_ptr ,  device ,  ** ) [source] ¶","Wrapper around an externally allocated CUDA stream. This class is used to wrap streams allocated in other libraries in order
to facilitate data exchange and multi-library interactions. 
 Note 
 This class doesn’t manage the stream life-cycle, it is the user
responsibility to keep the referenced stream alive while this class is
being used. 
 
 Parameters 
 
 
 
 
 
 Checks if all the work submitted has been completed. 
 
 
 Records an event. 
 
 
 Wait for all the kernels in this stream to complete. 
 
 
 Makes all future work submitted to the stream wait for an event. 
 
 
 Synchronizes with another stream.",,,,
"
 class torch.cuda. Event ( enable_timing ,  blocking ,  interprocess ) [source] ¶","Wrapper around a CUDA event. CUDA events are synchronization markers that can be used to monitor the
device’s progress, to accurately measure timing, and to synchronize CUDA
streams. The underlying CUDA events are lazily initialized when the event is first
recorded or exported to another process. After creation, only streams on the
same device may record the event. However, streams on any device can wait on
the event. 
 Parameters 
 
 
 
 
 
 Returns the time elapsed in milliseconds after the event was
recorded and before the end_event was recorded. 
 
 
 Reconstruct an event from an IPC handle on the given device. 
 
 
 Returns an IPC handle of this event. If not recorded yet, the event
will use the current device. 
 
 
 Checks if all work currently captured by event has completed. 
 
 
 Records the event in a given stream. 
 
 
 Waits for the event to complete. 
 
 
 Makes all future work submitted to the given stream wait for this
event.",,,,
"
 torch.cuda. is_current_stream_capturing ( ) [source] ¶","Returns True if CUDA graph capture is underway on the current CUDA stream, False otherwise. If a CUDA context does not exist on the current device, returns False without initializing the context.",,,,
"
 torch.cuda. graph_pool_handle ( ) [source] ¶","Returns an opaque token representing the id of a graph memory pool.
See  Graph memory management . 
 Warning 
 This API is in beta and may change in future releases. 
",,,,
"
 class torch.cuda. CUDAGraph [source] ¶","Wrapper around a CUDA graph. 
 Warning 
 This API is in beta and may change in future releases. 
 
 
 
 Begins capturing CUDA work on the current stream. 
 
 
 Ends CUDA graph capture on the current stream.
After  
 
 
 Returns an opaque token representing the id of this graph’s memory pool.
This id can optionally be passed to another graph’s  
 
 
 Replays the CUDA work captured by this graph. 
 
 
 Deletes the graph currently held by this instance.",,,,
"
 class torch.cuda. graph ( cuda_graph ,  pool ,  stream ) [source] ¶","Context-manager that captures CUDA work into a  torch.cuda.CUDAGraph 
object for later replay. See  CUDA Graphs  for a general introduction,
detailed use, and constraints. 
 Parameters 
 
 
 
 Note 
 For effective memory sharing, if you pass a  
 
 Warning 
 This API is in beta and may change in future releases. 
",,,,
"
 torch.cuda. make_graphed_callables ( callables ,  sample_args ,  num_warmup_iters ) [source] ¶","Accepts callables (functions or  nn.Module s)
and returns graphed versions. Each graphed callable’s forward pass runs its source callable’s
forward CUDA work as a CUDA graph inside a single autograd node. The graphed callable’s forward pass also appends
a backward node to the autograd graph. During backward, this node runs the
callable’s backward work as a CUDA graph. Therefore, each graphed callable should be a drop-in replacement for its source callable
in an autograd-enabled training loop. See  Partial-network capture  for detailed use and constraints. If you pass a tuple of several callables, their captures will use the same memory pool.
See  Graph memory management  for when this is appropriate. 
 Parameters 
 
 
 
 Note 
 The  
 
 Warning 
 This API is in beta and may change in future releases. 
 
 Warning 
 sample_args 
 
 Warning 
 Returned callables do not support higher order differentiation (e.g., double backward). 
 
 Warning 
 In any  
 
 Warning 
 After you pass a  
 
 Warning 
 torch.nn.Module 
 
 Warning 
 When running a graphed callable, you must pass its arguments in the same order and format
they appeared in that callable’s  
 
 Warning 
 The automatic mixed precision is supported in  
 
 Warning 
 All Tensor outputs of graphed callables must require grad. 
",,,,
"
 torch.cuda. empty_cache ( ) [source] ¶","Releases all unoccupied cached memory currently held by the caching
allocator so that those can be used in other GPU application and visible in
 nvidia-smi . 
 Note 
 empty_cache() 
 
",,,,
"
 torch.cuda. list_gpu_processes ( device ) [source] ¶","Returns a human-readable printout of the running processes
and their GPU memory use for a given device. This can be useful to display periodically during training, or when
handling out-of-memory exceptions. 
 Parameters 
 device 
 Return type 
 str 
",,,,
"
 torch.cuda. mem_get_info ( device ) [source] ¶","Returns the global free and total GPU memory occupied for a given
device using cudaMemGetInfo. 
 Parameters 
 device 
 Return type 
 Tuple 
 
 Note 
 See  
",,,,
"
 torch.cuda. memory_stats ( device ) [source] ¶","Returns a dictionary of CUDA memory allocator statistics for a
given device. The return value of this function is a dictionary of statistics, each of
which is a non-negative integer. Core statistics: 
 ""allocated.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 ""allocated_bytes.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 ""segment.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 ""reserved_bytes.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 ""active.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 ""active_bytes.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 ""inactive_split.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 ""inactive_split_bytes.{all,large_pool,small_pool}.{current,peak,allocated,freed}"" 
 For these core statistics, values are broken down as follows. Pool type: 
 all 
 large_pool 
 small_pool 
 Metric type: 
 current 
 peak 
 allocated 
 freed 
 In addition to the core statistics, we also provide some simple event
counters: 
 ""num_alloc_retries"" 
 ""num_ooms"" 
 The caching allocator can be configured via ENV to not split blocks larger than a
defined size (see Memory Management section of the Cuda Semantics documentation).
This helps avoid memory framentation but may have a performance
penalty. Additional outputs to assist with tuning and evaluating impact: 
 ""max_split_size"" 
 ""oversize_allocations.{current,peak,allocated,freed}"" 
 ""oversize_segments.{current,peak,allocated,freed}"" 
 
 Parameters 
 device 
 Return type 
 Dict 
 
 Note 
 See  
",,,,
"
 torch.cuda. memory_summary ( device ,  abbreviated ) [source] ¶","Returns a human-readable printout of the current memory allocator
statistics for a given device. This can be useful to display periodically during training, or when
handling out-of-memory exceptions. 
 Parameters 
 
 
 Return type 
 str 
 
 Note 
 See  
",,,,
"
 torch.cuda. memory_snapshot ( ) [source] ¶","Returns a snapshot of the CUDA memory allocator state across all devices. Interpreting the output of this function requires familiarity with the
memory allocator internals. 
 Note 
 See  
",,,,
"
 torch.cuda. memory_allocated ( device ) [source] ¶","Returns the current GPU memory occupied by tensors in bytes for a given
device. 
 Parameters 
 device 
 Return type 
 int 
 
 Note 
 This is likely less than the amount shown in  
",,,,
"
 torch.cuda. max_memory_allocated ( device ) [source] ¶","Returns the maximum GPU memory occupied by tensors in bytes for a given
device. By default, this returns the peak allocated memory since the beginning of
this program.  reset_peak_memory_stats()  can be used to
reset the starting point in tracking this metric. For example, these two
functions can measure the peak allocated memory usage of each iteration in a
training loop. 
 Parameters 
 device 
 Return type 
 int 
 
 Note 
 See  
",,,,
"
 torch.cuda. reset_max_memory_allocated ( device ) [source] ¶","Resets the starting point in tracking maximum GPU memory occupied by
tensors for a given device. See  max_memory_allocated()  for details. 
 Parameters 
 device 
 
 Warning 
 This function now calls  
 
 Note 
 See  
",,,,
"
 torch.cuda. memory_reserved ( device ) [source] ¶","Returns the current GPU memory managed by the caching allocator in bytes
for a given device. 
 Parameters 
 device 
 Return type 
 int 
 
 Note 
 See  
",,,,
"
 torch.cuda. max_memory_reserved ( device ) [source] ¶","Returns the maximum GPU memory managed by the caching allocator in bytes
for a given device. By default, this returns the peak cached memory since the beginning of this
program.  reset_peak_memory_stats()  can be used to reset
the starting point in tracking this metric. For example, these two functions
can measure the peak cached memory amount of each iteration in a training
loop. 
 Parameters 
 device 
 Return type 
 int 
 
 Note 
 See  
",,,,
